Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti 800 Std BSIII,Bangalore,2012,33715,Diesel,Manual,First,16.46 kmpl,1248 CC,100 bhp,5.0,43.65 Lakh,25.53
Honda City 1.5 V AT,Delhi,2013,73977,Diesel,Manual,First,18.6 kmpl,2993 CC,61 bhp,4.0,,4.58
Honda CR-V RVi MT,Delhi,2007,16460,CNG,Manual,Third,15.3 kmpl,1599 CC,140 bhp,5.0,,2.37
Skoda Yeti Ambition 4X2,Kolkata,2009,35048,Petrol,Manual,First,25.47 kmpl,1196 CC,86.8 bhp,5.0,,1.2
Hyundai i10 Magna LPG,Coimbatore,2013,41656,Petrol,Automatic,First,19.12 kmpl,1999 CC,115 bhp,7.0,13.26 Lakh,33.04
Hyundai i20 Asta 1.4 CRDi,Pune,2011,58764,Diesel,Manual,First,20.4 kmpl,1956 CC,98.6 bhp,7.0,,8.24
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Hyderabad,2010,47655,Diesel,Automatic,First,25.44 kmpl,2982 CC,57.5 bhp,7.0,,11.1
Maruti Baleno Zeta 1.2,Mumbai,2010,73709,Petrol,Manual,First,17.5 kmpl,1198 CC,78.9 bhp,5.0,,1.76
Hyundai Santro Xing XG,Pune,2012,49736,Diesel,Automatic,First,23.65 kmpl,2143 CC,121.3 bhp,7.0,,17.63
Toyota Corolla H4,Kolkata,2010,14348,Petrol,Manual,First,22.5 kmpl,1197 CC,null bhp,5.0,,1.29
Renault KWID RXT,Kolkata,2007,54624,Diesel,Manual,First,13.49 kmpl,1798 CC,null bhp,5.0,,3.15
Force One LX 4x4,Mumbai,2016,55077,Petrol,Automatic,First,19.01 kmpl,1197 CC,170 bhp,5.0,,11.38
Ford Fiesta 1.4 ZXi TDCi ABS,Coimbatore,2017,44928,Petrol,Automatic,First,16.95 kmpl,1998 CC,113.98 bhp,7.0,5.68 Lakh,7.45
Hyundai Santro Xing XL,Mumbai,2010,106801,Petrol,Manual,First,17.0 kmpl,1198 CC,74 bhp,5.0,,2.8
Honda Amaze E i-Vtech,Kochi,2010,23021,Petrol,Manual,First,18.88 kmpl,1498 CC,53.3 bhp,5.0,,11.42
Maruti Wagon R LXI CNG,Coimbatore,2009,32803,Petrol,Manual,First,19.0 kmpl,1198 CC,60 bhp,5.0,,7.21
Honda City i-VTEC V,Mumbai,2009,29975,Petrol,Manual,First,17.0 kmpl,1197 CC,88.8 bhp,5.0,,2.2
